indic_de,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	Category
PC_Y25_49,GE	36.1 	36.0 	36.1 	36.0 	36.1 	: 	35.9 	35.8 	34.3 	34.4 	34.2 	33.9 	PC_Y25_49
PC_Y15_24,CZ	12.8 	12.7 	12.4 	12.0 	11.5 	11.1 	10.7 	10.3 	9.9 	9.6 	9.3 	9.1 	PC_Y15_24
PC_Y15_24,LU	11.8 	11.8 	11.9 	11.9 	12.1 b	12.2 	12.0 	12.0 	11.9 	11.9 b	11.8 	11.6 	PC_Y15_24
PC_Y50_64,EA18	18.3 	18.5 	18.8 	19.2 b	19.4 b	19.7 	19.9 b	20.1 b	20.3 	20.5 b	20.7 p	20.9 p	PC_Y50_64
PC_Y50_64,IS	16.5 	16.7 	17.1 	17.5 	17.7 	17.9 	18.1 	18.2 	18.3 	18.3 	18.1 	17.9 	PC_Y50_64
PC_Y65_79,DK	11.5 	11.8 	12.2 	12.7 	13.2 	13.7 	14.1 	14.3 	14.6 	14.7 	14.9 	15.0 	PC_Y65_79
PC_Y65_79,DE	15.3 	15.4 	15.6 	15.4 b	15.4 	15.4 	15.5 b	15.4 	15.3 	15.2 	15.2 	15.1 	PC_Y65_79
PC_Y50_64,SK	18.9 	19.3 	19.6 	19.9 	20.2 	20.3 	20.3 	20.4 	20.4 	20.2 	19.9 	19.7 	PC_Y50_64
PC_Y15_24,MT	14.0 	13.9 	13.8 	13.5 	13.3 	13.2 	12.9 	12.6 	12.2 	11.7 	11.3 	11.0 	PC_Y15_24
PC_Y50_64,EE	18.4 	18.8 	19.2 	19.6 	19.9 	20.0 	20.0 	19.8 b	19.7 	19.6 	19.4 	19.4 	PC_Y50_64
PC_Y80_MAX,SI	3.6 b	3.8 	3.9 	4.1 	4.3 	4.5 	4.7 	4.8 	5.0 	5.1 	5.2 	5.3 	PC_Y80_MAX
PC_Y0_14,DK	18.4 	18.3 	18.1 	17.9 	17.7 	17.4 	17.2 	17.0 	16.8 	16.7 	16.6 	16.5 	PC_Y0_14
PC_Y0_14,SK	15.9 	15.6 	15.5 	15.4 	15.4 	15.4 	15.3 	15.3 	15.3 	15.5 	15.6 	15.7 	PC_Y0_14
PC_Y65_79,PT	13.4 	13.5 	13.6 	13.8 	13.9 	14.1 	14.3 	14.6 	14.8 	15.0 	15.2 	15.4 	PC_Y65_79
PC_Y25_49,TR	37.0 	37.3 	37.3 	37.3 	37.5 	37.4 	37.4 	37.2 	36.9 	36.9 	37.0 	37.0 	PC_Y25_49
PC_Y0_14,RS	15.4 	15.3 	15.2 	14.4 b	14.4 	14.4 	14.3 	14.4 	14.4 	14.4 	14.4 	14.3 	PC_Y0_14
PC_Y80_MAX,PT	4.3 	4.5 	4.6 	4.9 	5.1 	5.3 	5.5 	5.7 	5.9 	6.1 	6.3 	6.4 	PC_Y80_MAX
PC_Y25_49,RU	37.6 	37.7 	37.7 	37.1 	: 	: 	37.4 	: 	: 	: 	: 	: 	PC_Y25_49
PC_Y0_14,EU27_2020	15.5 b	15.4 	15.4 b	15.4 b	15.4 b	15.4 	15.3 b	15.3 b	15.3 	15.2 b	15.2 p	15.2 p	PC_Y0_14
PC_Y0_14,PT	15.6 	15.4 	15.3 	15.1 	14.9 	14.8 	14.6 	14.4 	14.1 	14.0 	13.8 	13.7 	PC_Y0_14
PC_Y15_24,AZ	20.8 	20.7 	20.5 	20.0 	19.4 	18.6 	17.8 	17.0 	16.1 	15.3 	14.7 	14.1 	PC_Y15_24
PC_Y80_MAX,RS	3.0 	3.2 	3.4 	3.4 b	3.6 	3.8 	4.0 	4.1 	4.3 	4.4 	4.5 	4.6 	PC_Y80_MAX
PC_Y50_64,ES	16.9 	17.1 	17.4 	17.7 	18.0 	18.4 	18.7 	19.2 	19.6 	20.0 	20.4 	20.7 	PC_Y50_64
PC_Y25_49,SK	37.9 	37.9 	38.0 	38.1 	38.2 	38.2 	38.2 	38.1 	38.1 	38.1 	38.1 	38.1 	PC_Y25_49
PC_Y80_MAX,HU	3.7 	3.8 	3.9 	4.1 	4.0 b	4.1 	4.2 	4.2 	4.3 	4.3 	4.4 	4.4 	PC_Y80_MAX
PC_Y15_24,NL	12.1 	12.2 	12.2 	12.3 	12.2 	12.2 	12.2 	12.2 	12.3 	12.3 	12.3 	12.3 	PC_Y15_24
PC_Y25_49,LI	38.6 	38.1 	37.6 	37.1 	36.6 	36.1 	35.8 	35.2 	34.8 	34.3 	33.8 	33.3 	PC_Y25_49
PC_Y80_MAX,IS	3.2 	3.2 	3.3 	3.4 	3.5 	3.6 	3.6 	3.7 	3.7 	3.6 	3.6 	3.5 	PC_Y80_MAX
PC_Y65_79,TR	5.9 	5.7 	5.8 	5.9 	5.9 	6.0 	6.0 	6.3 	6.6 	6.6 	6.8 	7.0 	PC_Y65_79
PC_Y65_79,PL	10.5 	10.3 	10.3 b	10.1 	10.3 	10.6 	11.0 	11.4 	11.8 	12.3 	12.8 	13.3 	PC_Y65_79
